,12/17/2013,(all prices list),List Unit Price,List Extended,VENDOR TOTAL,Country of Origin,Schedule B Tariff Code,MFR,Picture
2,48480321,Tapered - Single End; Small End Diameter: 1/8; Taper Degree: 1-1/2; LOC: 1-1/2; OAL: 3; Flutes: 3; Point Type: Ball End,45.03,90.06,,,820900,,
,,,,,MSC:,,,,
,,,,,445.51,,,,
,Onsrud,to replace msc! ask Nadya Peek any questions about differences.,,,,,,,
,http://www.onsrud.com/,,,,,,,,
,collets for regular shopbot (not desktop!):,,,,,,,,
1,34-152,ER 25 Collet - Inches 1/8 ID,39.9,39.9,,,,,
1,34-156,ER 25 Collet - Inches 1/4 ID,39.9,39.9,,,,,
1,34-164,ER 25 Collet - Inches 1/2 ID,39.9,39.9,,,,,
1,34-168,ER 25 Collet - Inches 5/8 ID,39.9,39.9,,,,,
,"end mills to go with regular shopbot (desktop can remove 1/2"" end mills and extended length end mills):",,,,,,,,
2,64-012,"1/8"" Solid Carbide One Flute Downcut Super O Flute for Plastic, Wood, Aluminum, Solid Surface",38.7,77.4,,,820900,,
2,65-012,"1/8"" Solid Carbide One Flute Upcut Super O Flute for Plastic, Wood, Aluminum, Solid Surface",36.7,73.4,,,820900,,
3,52-240,"1/8"" Solid Carbide Two Flute Upcut for Wood and Soft Plastic",23.65,70.95,,,820900,,
3,57-240,"1/8"" Solid Carbide Two Flute Downcut for Woods",$23.65,$70.95,,,820900,,
2,52-280,"1/4"" Solid Carbide Two Flute Upcut for Wood and Soft Plastic",$26.7,$53.4,,,820900,,
2,57-287,"1/4"" Solid Carbide Two Flute Downcut for Woods",30.75,61.5,,,820900,,
1,57-367,"1/2"" Solid Carbide Two Flute Downcut for Woods",84,84,,,820900,,
2,37-61,"1/2"" Carbide Tipped Two Flute Up-shear V Flute For V-Grooving or Beveling 90° for Plastics, Solid Surface, Composites, Laminated and Vaneered Materials",18.75,37.5,,,820900,,
1,52-244BL,"1/8"" Solid Carbide Two Flute Upcut Ballnose (Extended Length) for Plastics, Solid Surface, Aluminum, and Wood",55.45,55.45,,,820900,,
1,52-280BL,"1/4"" Solid Carbide Two Flute Upcut Ballnose (Extended Length) for Plastics, Solid Surface, Aluminum, and Wood",62.65,62.65,,,820900,,
1,52-360BL,"1/2"" Solid Carbide Two Flute Upcut Ballnose (Extended Length) for Plastics, Solid Surface, Aluminum, and Wood",128.8,128.8,,,820900,,
2,56-041,"1/8"" Solid Carbide Two Flute Straight V Flute for Composites, Hard and Soft Plastics, Solid Surface",26.25,52.5,,,820900,,
2,56-082,"1/4"" Solid Carbide Two Flute Straight V Flute for Composites, Hard and Soft Plastics, Solid Surface",28.9,57.8,,,820900,,
1,64-000,"1/16"" Solid Carbide One Flute Downcut Super O Flute for Plastic, Wood, Aluminum, Solid Surface",34.05,34.05,,,820900,,
,,,,,$1079.95,,,,
,,,,,,,,,
,Roland,,,,,,,,
,http://www.rolanddga.com/,,,,,,,,
1,"MDX-20 milling machine 8""Xx6""Yx2-3/8""Z 10W 0.000246 in./step 0.00625 mm/step 6500 rpm  ",,,5000.00,,USA/Japan,8465.92.0090,,
,,,,,,,,,
1,"GX-24 CAMM-1 SERVO vinyl cutter 2"" - 27.5""5.08cm - 69.85cm 20 IPS 30gf - 250gf ",,,2100.00,,USA/Japan,8477.80.0000,,
,,,,,Roland: ,,,,
,,,,,"$7,100.00",,,,
,For non-US locations you will want to order an American standard,,,,,,,,
, collet and motor in order to make the circuit boards that we make in,,,,,,,,
, fab labs. Those part numbers are:,,,,,,,,
,,,,,,,,,
1,PS-1/8 collet  ,,102.99,102.99,,USA/Japan,8466.93.3050,,
1,MOTOR MM-40,,92.99,92.99,Roland accessories: ,USA/Japan,8501.32.4000,,
,,,,,$195.98,,,,
,Carbide Depot,,,,,,,,
,http://www.carbidedepot.com/,,,,,,,,
,precision milling tooling:,,,,,,,,
10,GT 11550,"0.0100"" DIA 220M .010",16.43,164.30,,USA,820900,,
25,CU 129974,"0.0156"" DIA 2FL SE AlTiN 1/64",14.8,370.00,,USA,820900,,
10,CU 129985,"0.0312"" DIA 2FL SE AlTiN 1/32",10,100,,,820900,,
10,CU 130007,"0.0625"" DIA 2FL SE AlTiN 1/16",7.24,72.40,,USA,820900,,
10,CU 130029,"0.0938"" DIA 2FL SE AlTiN 3/32",7.24,72.40,,USA,820900,,
10,CU 130051,"0.1250"" DIA 2FL SE AlTiN 1/8",6.73,67.30,,USA,820900,,
10,CU 136596,"0.1250"" DIA 4FL SE LONG AlTiN 1/8",11.41,114.10,,USA,820900,,
10,CU 132042,"0.0156"" DIA 2FL BALLNOSE AlTiN 1/64",16.58,165.80,,USA,820900,,
10,CU 132053,"0.0312"" DIA 2FL BALLNOSE AlTiN 1/32",10.27,102.70,,USA,820900,,
10,CU 132075,"0.0625"" DIA 2FL BALLNOSE AlTiN 1/16",9.91,99.10,,USA,820900,,
10,CU 132097,"0.0938"" DIA 2FL BALLNOSE AlTiN 3/32",10.41,104.10,,USA,820900,,
10,CU 132119,"0.1250"" DIA 2FL BALLNOSE AlTiN 1/8",9.53,95.30,,USA,820900,,
10,CU 137212,"0.1250"" DIA 4FL BALLNOSE LONG AlTiN 1/8",13.58,135.80,,USA,820900,,
,,,,,Carbide Depot: ,,,,
,,,,,"$1,663.30",,,,
,VMI Sales ,,,,,,,,
,http://www.vmisales.com/plotter_blades/,,,,,,,,
,vinyl cutter blades,,,,,,,,
5,"Roland 45 Degree Plotter Blades, 5 pack  ",,32.5,162.50,,USA,8443.99.5600,,
,,,,,VMI Sales:,,,,
,,,,,$162.50,,,,
,Amazon,,,,,,,,
,http://www.amazon.com,,,,,,,,
,stock cutting:,,,,,,,,
1,DW788S ,"DeWalt 20"" Variable Speed Scroll Saw with Stand and Light ",577.1,577.10,,Taiwan,8465.91.0049,,
1,JWBS-10OS,Jet 10-Inch Band Saw with Stand,374.99,374.99,,,,,
,,110V--needs step up transformer and plug adapter for non-US,,,,,,,
,,locations,,,,,,,
,drilling:,,,,,,,,
1,LXFD01CW,Makita LXFD01CW 18-Volt Compact Lithium-Ion Cordless 1/2-Inch Driver-Drill Kit,175,175.00,,USA,8467.21,,
1,DC18RA,http://www.amazon.com/Makita-30-minute-Optimum-7-2-18V-220-240V/dp/B003RBO9MY/ref=sr_1_1?s=hi&ie=UTF8&qid=1371063350&sr=1-1&keywords=220V+makita+18V+charger,93.99,,,,,,
,"grinding, cutting:",,,,,,,,
1,300-1/24,Dremel 300 Series Variable-Speed Rotary Tool Kit,66.75,66.75,,,8467.29,,
,machining clean-up:,,,,,,,,
1,CHV1510,Black & Decker CHV1510 Dustbuster 15.6-Volt Cordless Cyclonic Hand Vac,49.88,49.88,,China,8508.11.0000,,
1,9633400,"Shop-Vac 9633400 6.5-Peak HP Ultra Pro Series Wet or Dry Vacuum with Detachable Blower, 12-Gallon",122.99,122.99,,,8479.89,,
,fixturing:,,,,,,,,
5,9970,Intertape 9970 Indoor Carpet Tape 1.87-Inches x 36-Yards,9.62,48.1,,,,,
,"mold curing, solder reflow:",,,,,,,,
1,TOB-195,"Cuisinart TOB-195 Convection Toaster Oven/Broiler, Brushed Chrome ",171.89,171.89,,China,8516.60.6000,,
,,110V--needs step up transformer and plug adapter for,,,,,,,
,,non-US locations,,,,,,,
,surface mount rework:,,,,,,,,
1,6966C,"Weller Heat Gun, Model 6966C, 750-800 Degrees Farenheit ",118,118.00,,Mexico,84.19,,
,,"   Looking for  220V version of the Weller Heat Gun, with fine tip",,,,,,,
,,for soldering capability--please source locally.,,,,,,,
,measuring:,,,,,,,,
5,01407A, Neiko Stainless Steel 6-Inch Digital Caliper with Extra-Large LCD Screen,16.5,82.50,,China,9017.30.40.00,,
1,B001FDOJCQ,10 pk LR44 cell battery for caliper,0.82,0.82,,,,,
,inspection:,,,,,,,,
1,44302,Celestron 44302 Handheld Digital Microscope ,44.95,44.95,,China,9011.80.0000,,
,lasercutter lens cleaning:,,,,,,,,
1,074887544100,"Zeiss Pre-Moistened Lens Cloths Wipes 400 Ct
",26.55,26.55,,,,,
,serial interface:,,,,,,,,
3,ICUSB232  ,StarTech.com USB-to-RS232 Serial DB9 Adapter Cable ICUSB232  ,13.89,41.67,,China,8544.42.0000,,
3,F2L088-06,"Belkin DB9 Female/DB25 Male Modem Cable
",5.99,17.97,,,,,
,videoconference:,,,,,,,,
1,XA407AA#ABA,HP Webcam HD-4110 - 1080P Autofocus Widescreen Webcam,65.85,65.85,,USA,8525.80.00.35,,
1,Plantronics Calisto P420,Plantronics Calisto P420 USB Speakerphone - Black/Silver,135.99,135.99,,,8518.10,,
1,AS7739Z-4804,"Acer Aspire AS7739Z-4804 17.3-Inch Laptop (Black)
",449.99,449.99,,,8471.30,,
,video monitor:,,,,,,,,
1,"BWCMO363
",4.3'' Color TFT Monitor,20.82,20.82,,,,,
,design:,,,,,,,,
1,CTL471,Wacom Bamboo Splash Pen Tablet,66.99,66.99,,,8471.60,,
,"3D scanning, project documentation:",,,,,,,,
1,5169B005,Canon EOS Rebel T3i 18 MP CMOS Digital SLR Camera and DIGIC 4 Imaging with EF-S 18-135mm f/3.5-5.6 IS Standard Zoom Lens,899,899,,Taiwan,8525.80.4000,,
1,TS32GSDHC10E,"Transcend 32 GB Class SDHC 10 Flash Memory Card TS32GSDHC10E
",29.87,29.87,,Taiwan,8523.51.0000,,
1,7507A004,"Canon 2400 SLR Gadget Bag for EOS SLR Cameras
",37.97,37.97,,,,,
,3D scanning:,,,,,,,,
1,B002BSA298,Kinect Sensor,129,129,,,8471.60,,
,projector:,,,,,,,,
1,HD66 ,Optoma HD66 3D Projector ,549.99,549.99,,,8528.61.00.00,,
,speakers:,,,,,,,,
1,M1Active 320,"Alesis USB Studio Monitor Pair
",88.95,88.95,,,,,
,networking:,,,,,,,,
2,WZR-HP-G300NH ,Buffalo Technology Nfiniti Wireless-N High Power Router & Access Point WZR-HP-G300NH ,66.99,133.98,,USA,8517.62.0050,,
5,27143,Cables To Go - 27143 - 10ft CAT6 550Mhz Snagless Patch Cable Blue ,3.91,19.55,,USA,8544.42.0000,,
5,27145,Cables To Go - 27145 - 25ft CAT6 550Mhz Snagless Patch Cable Blue ,3.86,19.30,,USA,8544.42.0000,,
5,27166, Cables To Go - 27166 - 50ft CAT6 550Mhz Snagless Patch Cable White ,11.25,56.25,,USA,8544.42.0000,,
,printing:,,,,,,,,
1,MX892,"Canon Office Products PIXMA MX892 Wireless Color Photo Printer with Scanner, Copier and Fax",199.99,199.99,,China,8443.32.1040,,
2,4530B008,"Canon PGI-225 BK/ CLI-226 C,M,Y 4 Pack Value Pack",45.77,91.54,,USA,8443.91.1000,,
2,4546B001,Canon CLI-226 Black Ink Tank,10.32,20.64,,,,,
2,0775B023,"Canon Photo Paper Glossy, 8.5 x 11 Inches, 50 Sheets",14.88,29.76,,,,,
5,"54-301
","Mohawk 100% Recycled Color Copy/Laser Paper, 96 Brightness, 28 lb, Letter Size (8.5 x 11), 500 Sheets (54-301)",11.47,57.35,,,,,
,plotting:,,,,,,,,
4,B000GOZXA2,Mini Sharpie 4 pack,5.22,20.88,,,,,
,lighting:,,,,,,,,
4,B006LW331E,5M Waterproof 5050 SMD 300 Epoxy LED Strip Light White,14.4,57.6,,,,,
,large format printing:,,,,,,,,
,power:,,,,,,,,
5,B000IF51UQ, Belkin 6 Outlet Home/Office Surge Protector ,6.77,33.85,,,8536.69.5050,,
5,B002GHCOUY,"Cables to Go 53410 Outlet Saver 18 AWG Power Extension Cord 25 Feet, Black ",11.79,58.95,,,8544.42.0000,,
3,B000MWAKVU,Power Bright VC100W Voltage Transformer 100 Watt,15.36,46.08,,,8504.31.4065,,
2,B000MX1QXA,Power Bright VC500W Voltage Transformer 500 Watt,28.03,56.06,,,8504.31.4065,,
1,B000MX564U,Power Bright VC1000W Voltage Transformer 1000 Watt,53.42,53.42,,,8504.31.6000,,
2,B000MY02LQ,Power Bright VC3000W Voltage Transformer 3000 Watt,83,166.00,,,8504.31.6000,,
,,   or local,,,Amazon: ,,,,
,,,,,"$5,514.78",,,,
,Dell,,,,,,,,
,http://www.dell.com,,,,,,,,
7,Inspiron 660s,"
Intel Core i3-3240 processor (3M Cache, 3.4 GHz), 8GB2 at 1600MHz, 1TB 7200 RPM SATA Hard Drive",549.99,3849.93,,,,,
7,E2313H,E Series 23-inch Widescreen Monitor with LED,169.99,1189.93,,,,,
,,"   one computer is needed for each machine,",,,Dell:,,,,
,,"   one for microcontroller programming, and more are recommended for design/education/collaboration",,,"$5,039.86",,,,
,,,,,,,,,
,Test Equipment Depot,,,,,,,,
,http://www.testequipmentdepot.com,,,,,,,,
1,Instek GDS-1152A-U 150 MHz Digital Storage Oscilloscope  ,,840.95,840.95,,Taiwan,9030.20.1500,,
1,"Instek AFG-2125 Function Generator, 25MHZ, sweep, AM/FM
",,459,459.00,,Taiwan,8543.20.0000,,
1,"Instek GPD-3303D Triple-Output DC Power Supply, 30V/3A x 2, 2.5V/3.3V/5V/3A x 1 ",,477,477.00,,Taiwan,8471.80.90.00,,
1,"Luxo 16346WT IFM Magnifier Light, White w/45-inch arm, Edge Mount, 5-diopter lens, 3-Conductor Cord Set lamp included  ",,139.95,139.95,,USA,9405.20.30.00,,
1,"Luxo 31640 Lamp, 22-watt T-9 Fluorescent FC8T9/CW  ",,12.95,12.95,Test Equipment Depot:,USA,8539.31.0000,,
,,,,,"$1,929.85",,,,
,,,,,,,,,
,Digi-Key,,,,,,,,
,http://www.digikey.com/,,,,,,,,
,resistors:,,,,,,,,
1000,311-0.0ERCT-ND,RES 0.0 OHM 1-4W 5% 1206 SMD-,0.00477,4.77,,China,853321,,
200,RHM.10QCT-ND - DISCONTINUED,RES .10 OHM 1-4W 1% 1206 SMD,0.1463,29.26,,Philippines,853321,,
100,CSRN2010FKR250CT-ND,RES .25OHM 1W 1% 2010 SMD,0.3,30.00,,China,853321,,
1000,311-1.00FRCT-ND,RES 1.00 OHM 1-4W 1% 1206 SMD-,0.00637,6.37,,China,853321,,
1000,311-4.99FRCT-ND,RES 4.99 OHM 1-4W 1% 1206 SMD,0.00637,6.37,,China,853321,,
1000,311-10.0FRCT-ND,RES 10.0 OHM 1-4W 1% 1206 SMD,0.00637,6.37,,China,853321,,
1000,311-49.9FRCT-ND,RES 49.9 OHM 1-4W 1% 1206 SMD-,0.00637,6.37,,China,853321,,
1000,311-100FRCT-ND,RES 100 OHM 1-4W 1% 1206 SMD,0.00637,6.37,,China,853321,,
1000,311-499FRCT-ND,RES 499 OHM 1-4W 1% 1206 SMD-,0.00637,6.37,,China,853321,,
1000,311-1.00KFRCT-ND,RES 1.00K OHM 1-4W 1% 1206 SMD-,0.00637,6.37,,China,853321,,
1000,311-4.99KFRCT-ND,RES 4.99K OHM 1-4W 1% 1206 SMD,0.00637,6.37,,China,853321,,
1000,311-10.0KFRCT-ND,RES 10.0K OHM 1-4W 1% 1206 SMD,0.00637,6.37,,China,853321,,
1000,311-49.9KFRCT-ND,RES 49.9K OHM 1-4W 1% 1206 SMD,0.00637,6.37,,China,853321,,
1000,311-100KFRCT-ND,RES 100K OHM 1-4W 1% 1206 SMD,0.00637,6.37,,China,853321,,
1000,311-499KFRCT-ND,RES 499K OHM 1-4W 1% 1206 SMD,0.00637,6.37,,China,853321,,
1000,311-1.00MFRCT-ND,RES 1.00M OHM 1-4W 1% 1206 SMD-,0.00637,6.37,,China,853321,,
1000,311-4.99MFRCT-ND,RES 4.99M OHM 1-4W 1% 1206 SMD-,0.00637,6.37,,China,853321,,
1000,311-10.0MFRCT-ND,RES 10.0M OHM 1-4W 1% 1206 SMD-,0.00637,6.37,,China,853321,,
,potentiometer:,,,,,,,,
100,490-6999-1-ND,TRIMMER 10K OHM 0.05W SMD,0.1905,19.05,,,,,
,capacitors:,,,,,,,,
500,311-1212-1-ND,CAP CERAMIC 1PF 50V NP0 1206-$0.04200-,0.0465,23.25,,Taiwan,853224,,
500,311-1150-1-ND,CAP CERAMIC 10PF 50V NP0 1206-$0.03612-,0.04046,20.23,,United Kingdom,853224,,
500,311-1161-1-ND,CAP CERAMIC 100PF 50V NP0 1206-$0.04200-,0.04706,23.53,,United Kingdom,853224,,
500,311-1144-1-ND,CAP 1000PF 1KV CERAMIC X7R 1206-$0.15300-,0.14688,73.44,,United Kingdom,853224,,
500,311-1174-1-ND,CAP 10000PF 50V CERAMIC X7R 1206 $0.03360-,0.03764,18.82,,United Kingdom,853224,,
500,399-4674-1-ND,CAP CERAMIC .1UF 250V X7R 1206-,0.1155,57.75,,Mexico,853224,,
500,445-1423-1-ND,CAP CER 1UF 50V X7R 10% 1206-,0.068,34.00,,Japan,853224,,
100,587-1352-1-ND,CAP CER 10UF 35V Y5V 1206-,0.184,18.40,,Japan,853224,,
25,283-2810-ND,CAP SUPER 1F 5.5V RADIAL,2.723,68.08,,South Korea,853229,,
,chokes:,-,,,,,,,
25,PCD2144CT-ND,CHOKE COIL 1.2UH 6500MA SMD-,1.989,49.73,,Singapore,850450,,
25,PCD2152CT-ND,CHOKE COIL 10UH 3900MA SMD-,1.989,49.73,,Singapore,850450,,
25,PCD2164CT-ND,CHOKE COIL 100UH 1200MA SMD-,1.989,49.73,,Singapore,850450,,
25,PCD2176CT-ND,CHOKE COIL 1000UH 410MA SMD-,1.989,49.73,,Singapore,850450,,
,diodes:,-,,,,,,,
250,497-5559-1-ND,DIODE SCHOTTKY 100V SGL SOD-123-,0.16832,42.08,,Taiwan,854110,,
250,641-1331-1-ND,DIODE SCHOTTKY 1A 100V MINI-SMA-,0.1924,48.10,,Taiwan,854110,,
500,BZT52C3V3-FDICT-ND,DIODE ZENER 500MW 3.3V SOD123-,0.06526,32.63,,China,854110,,
500,BZT52C4V7-13-FDICT-ND,DIODE ZENER 4.7V 500MW SOD-123-,0.06526,32.63,,China,854110,,
,transistors:,-,,,,,,,
250,NDS355ANCT-ND,MOSFET N-CH 30V 1.7A 3-SSOT-,0.26336,65.84,,Philippines,854121,,
250,NDS356APCT-ND,MOSFET P-CH -30V 1.1A 3-SSOT-,0.33828,84.57,,Philippines,854121,,
50,RFD16N05LSM9ACT-ND,MOSFET N-CH 50V 16A TO-252AA-,1.125,56.25,,Malaysia,854129,,
,H-bridge motor driver:,,,,,,,,
100,620-1428-1-ND,IC PWM MOTOR DVR FULL 8SOIC,1.5738,157.38,,,,,
,regulators:,-,,,,,,,
250,LM3480IM3-3.3/NOPBCT-ND,IC 3.3V100MA LDO VREG SOT23-,0.32,80.00,,Malaysia,854239,,
250,LM3480IM3-5.0/NOPBCT-ND,IC 5.0 100MA LDO VREG SOT23-,0.32,80.00,,Malaysia,854239,,
100,LM2940IMP-5.0CT-ND,IC 5V 1A LDO VREG SOT223-,1.6954,169.54,,Malaysia,854239,,
,amplifiers:,-,,,,,,,
50,AD8615AUJZ-REEL7CT-ND,IC OPAMP GP R-R CMOS LN TSOT23-5   ,1.7421,87.11,,Malaysia,854233,,
25,LM4861M-ND,IC AMP AUDIO PWR 1.5W MONO 8SOIC,1.2752,31.88,,,,,
,LEDs:,-,,,,,,,
250,160-1167-1-ND,LED RED CLEAR 1206 SMD-,0.13124,32.81,,Taiwan,854140,,
250,160-1169-1-ND,LED GREEN CLEAR 1206 SMD-,0.15,37.50,,Taiwan,854140,,
250,160-1403-1-ND,LED YELLOW ORANGE CLEAR 1206 SMD,0.10124,25.31,,,,,
250,160-1889-1-ND,LED BLUE CLEAR 1206 REV MT SMD,0.13364,33.41,,,,,
250,160-1737-1-ND,LED WHITE YELLOW 260MCD 1206,0.2484,62.10,,,,,
100,CLV1A-FKB-CJ1M1F1BB7R4S3CT-ND,LED RED/GREEN/BLUE PLCC4 SMD      ,0.529,52.90,,China,854140,,
100,365-1470-1-ND,LED IR 850NM CLR PLCC-2 SMD REV,0.52,52.00,,Taiwan,854140,,
,for led strips see the amazon list,,,,,,,,
,photodetectors:,-,,,,,,,
100,365-1162-1-ND,PHOTOTRANSISTOR NPN SMD PLCC-2,0.28,28.00,,Taiwan,854140,,
,LCD:,-,,,,,,,
25,67-1781-ND,LCD MODULE 16x2 CHARACTER-,7.056,176.40,,Taiwan,853120,,
,speakers / microphones:,-,,,,,,,
25,GC0351M-ND,SPEAKER 16X35MM 8 OHMS .5WATT-,4.92,123.00,,Taiwan,851829,,
50,102-1727-ND,MIC CONDENSER ELECT OMNI -42DB-,1.833,91.65,,China,851810,,
,temperature:,-,,,,,,,
25,235-1109-1-ND,THERMISTOR NTC 10K OHM 10% 1206-,2.499,62.48,,Japan,853329,,
25,PTS12061.0KCT-ND,TEMP SENSOR RTD 1.0K OHM 1206,3.203,80.075,,USA,8533.21.0030,,
,hall effect: ,,,,,,,,
25,620-1021-1-ND,IC SENSOR HALL EFFECT SOT23W,1.386,34.65,,Philippines,854239,,
,accelerometer:,,,,,,,,
25,497-11918-1-ND,ACCELEROMETER/MAGNETOMETER LGA14,4.046,101.15,,,,,
,op-amp:,-,,,,,,,
100,AD8605ARTZREEL7CT-ND,IC OPAMP SNGL R-R I-O LN SOT23-5,1.3524,135.24,,South Korea,854233,,
,microcontrollers:,-,,,,,,,
200,ATTINY45V-10SU-ND,IC AVR MCU 4K 10MHZ 8SOIC-,1.23,246.00,,China,854231,,
100,ATTINY44A-SSU-ND,IC MCU AVR 4K FLASH 20MHZ 14SOIC-,1.176,117.60,,South Korea,854231,,
50,ATMEGA328P-AU-ND,"IC MCU 8BIT 32KB FLASH 32TQFP
",1.9156,95.78,,South Korea,854231,,
25,"ATMEGA16U2-AU-ND
","IC MCU 8BIT 16KB FLASH 32TQFP
",2.3288,58.22,,,,,
25,497-6063-ND,MCU ARM 64KB FLASH MEM 48-LQFP-,5.1412,128.53,,China,854231,,
2,1188-1048-ND,ST M3 STM32F103 HEADER BOARD,27.43,54.86,,,,,
,crystal:,-,,,,,,,
200,XC1109CT-ND,CER RESONATOR 20.00MHZ SMD,0.4275,85.5,,China,8541.6,,
200,535-10004-1-ND,RESONATOR CER 8.00 MHZ W/CAP SMD,0.2475,49.5,,,,,
100,644-1039-1-ND,CRYSTAL 20.000000 MHZ 8PF SMD,0.486,48.6,,Singapore,8541.6,,
,radios:,,,,,,,,
25,"576-1338-ND
","IC ASK TRANSMITTER UHF 8SOIC
",3.106,77.65,,,,,
25,"576-1961-5-ND
","IC RECEIVER 300-440MHZ 8-SOIC
",3.106,77.65,,,,,
25,"MRF49XA-I/ST-ND
","IC RF TXRX 433/868/915 16-TSSOP
",2.16,54,,,,,
